UK,Max Temp,18.0,JUN,1947
UK,Max Temp,19.8,JUL,1971
UK,Max Temp,19.4,AUG,1996
UK,Max Temp,17.0,SEP,2009
UK,Max Temp,13.4,OCT,2016
UK,Max Temp,9.6,NOV,1928
UK,Max Temp,7.6,DEC,1980
UK,Max Temp,7.23,WIN,1923
UK,Max Temp,12.10,SPR,1921
UK,Max Temp,18.94,SUM,1940
UK,Max Temp,13.11,AUT,2004
UK,Max Temp,7.1,JAN,1930
UK,Max Temp,7.3,FEB,1980
UK,Max Temp,9.5,MAR,1999
UK,Max Temp,12.1,APR,1960
UK,Max Temp,15.3,MAY,1937
UK,Max Temp,18.0,JUN,1917
UK,Max Temp,19.8,JUL,1923
UK,Max Temp,19.3,AUG,2009
UK,Max Temp,17.0,SEP,1998
UK,Max Temp,13.4,OCT,1979
UK,Max Temp,9.5,NOV,1920
UK,Max Temp,7.6,DEC,1972
UK,Max Temp,7.07,WIN,1992
UK,Max Temp,12.02,SPR,1998
UK,Max Temp,18.92,SUM,2004
UK,Max Temp,13.10,AUT,1958
UK,Max Temp,7.1,JAN,1925
UK,Max Temp,7.3,FEB,1974
UK,Max Temp,9.5,MAR,1973
UK,Max Temp,12.0,APR,1980
UK,Max Temp,15.2,MAY,2014
UK,Max Temp,18.0,JUN,1915
UK,Max Temp,19.7,JUL,1926
UK,Max Temp,19.3,AUG,2005
UK,Max Temp,17.0,SEP,1964
UK,Max Temp,13.4,OCT,1965
UK,Max Temp,9.4,NOV,1981
UK,Max Temp,7.6,DEC,1956
UK,Max Temp,7.04,WIN,1916
UK,Max Temp,12.00,SPR,2010
UK,Max Temp,18.88,SUM,1925
UK,Max Temp,13.08,AUT,2017
UK,Max Temp,7.0,JAN,1998
UK,Max Temp,7.3,FEB,1967
UK,Max Temp,9.4,MAR,1927
UK,Max Temp,12.0,APR,1961
UK,Max Temp,15.2,MAY,2011
UK,Max Temp,17.9,JUN,1989
UK,Max Temp,19.6,JUL,2010
UK,Max Temp,19.3,AUG,2001
UK,Max Temp,17.0,SEP,1926
UK,Max Temp,13.4,OCT,1920
UK,Max Temp,9.4,NOV,1964
UK,Max Temp,7.6,DEC,1948
UK,Max Temp,7.04,WIN,1913
UK,Max Temp,12.00,SPR,1940
UK,Max Temp,18.82,SUM,1996
UK,Max Temp,13.07,AUT,1989
UK,Max Temp,6.9,JAN,1969
UK,Max Temp,7.2,FEB,2012
UK,Max Temp,9.4,MAR,1921
UK,Max Temp,12.0,APR,1933
UK,Max Temp,15.2,MAY,1948
UK,Max Temp,17.9,JUN,1939
UK,Max Temp,19.5,JUL,1982
UK,Max Temp,19.3,AUG,1939
UK,Max Temp,16.9,SEP,1939
UK,Max Temp,13.3,OCT,1985
UK,Max Temp,9.4,NOV,1955
UK,Max Temp,7.6,DEC,1941
UK,Max Temp,7.01,WIN,1937
UK,Max Temp,11.97,SPR,2000
UK,Max Temp,18.75,SUM,2017
UK,Max Temp,13.07,AUT,1951
UK,Max Temp,6.9,JAN,1937
UK,Max Temp,7.2,FEB,1921
UK,Max Temp,9.4,MAR,1920
UK,Max Temp,12.0,APR,1921
UK,Max Temp,15.2,MAY,1943
UK,Max Temp,17.9,JUN,1936
UK,Max Temp,19.5,JUL,1969
UK,Max Temp,19.3,AUG,1916
UK,Max Temp,16.8,SEP,1989
UK,Max Temp,13.3,OCT,1943
UK,Max Temp,9.4,NOV,1945
UK,Max Temp,7.5,DEC,1984
UK,Max Temp,6.96,WIN,1976
UK,Max Temp,11.96,SPR,2005
UK,Max Temp,18.72,SUM,1999
UK,Max Temp,13.05,AUT,1929
UK,Max Temp,6.9,JAN,1934
UK,Max Temp,7.1,FEB,2016
UK,Max Temp,9.3,MAR,2004
UK,Max Temp,11.9,APR,2005
UK,Max Temp,15.1,MAY,1982
UK,Max Temp,17.9,JUN,1914
UK,Max Temp,19.4,JUL,2008
UK,Max Temp,19.3,AUG,1914
UK,Max Temp,16.8,SEP,1945
UK,Max Temp,13.2,OCT,1984
UK,Max Temp,9.3,NOV,1992
UK,Max Temp,7.5,DEC,1977
UK,Max Temp,6.94,WIN,1988
UK,Max Temp,11.95,SPR,1953
UK,Max Temp,18.70,SUM,1950
UK,Max Temp,13.02,AUT,1941
UK,Max Temp,6.8,JAN,1920
UK,Max Temp,7.1,FEB,1999
UK,Max Temp,9.2,MAR,1992
UK,Max Temp,11.9,APR,1982
UK,Max Temp,15.1,MAY,1980
UK,Max Temp,17.8,JUN,2016
UK,Max Temp,19.4,JUL,2005
UK,Max Temp,19.2,AUG,1989
UK,Max Temp,16.8,SEP,1914
UK,Max Temp,13.2,OCT,1972
UK,Max Temp,9.3,NOV,1984
UK,Max Temp,7.5,DEC,1959
UK,Max Temp,6.91,WIN,1950
UK,Max Temp,11.94,SPR,1944
UK,Max Temp,18.68,SUM,1914
UK,Max Temp,12.91,AUT,1994
UK,Max Temp,6.7,JAN,2018
UK,Max Temp,7.1,FEB,1982
UK,Max Temp,9.2,MAR,1981
UK,Max Temp,11.9,APR,1959
UK,Max Temp,15.1,MAY,1978
UK,Max Temp,17.8,JUN,1986
UK,Max Temp,19.4,JUL,2001
UK,Max Temp,19.2,AUG,1981
UK,Max Temp,16.7,SEP,1997
